Country,Baker_Count,Region
United Kingdom,117,West Europe
Germany,89,West Europe
Italy,62,West Europe
Spain,46,West Europe
France,40,West Europe
Switzerland,31,West Europe
Netherlands,28,West Europe
Sweden,22,West Europe
Russia,18,East Europe
Belgium,15,West Europe
Portugal,13,West Europe
Ireland,12,West Europe
Poland,12,East Europe
Denmark,11,West Europe
Finland,9,West Europe
Norway,9,West Europe
Austria,9,West Europe
Czech Republic,8,East Europe
Greece,7,West Europe
Romania,6,East Europe
Turkey,5,East Europe
Serbia and Montenegro,5,East Europe
Ukraine,3,East Europe
Hungary,3,East Europe
Croatia,3,East Europe
Lithuania,2,East Europe
Slovenia,2,East Europe
Slovakia,2,East Europe
Latvia,1,East Europe
Iceland,1,West Europe
Estonia,1,East Europe
Macedonia,1,East Europe
