"Class","Predictor","Coefficient","Std_Error","Z_value","P_value","Significance"
"Ano, nevýznamná krize","(Intercept)",-0.227346896690558,0.660598393506841,-0.34415296634869,0.730731251568282,""
"Ano, nevýznamná krize","obor_dotovany.L",-0.0504822722872326,0.374178357663358,-0.134914997763314,0.892679081468684,""
"Ano, nevýznamná krize","obor_dotovany.Q",-0.370228076222911,0.40560559208689,-0.912778530291073,0.361359032196864,""
"Ano, nevýznamná krize","obor_dotovany.C",0.0809208040834666,0.228572503171239,0.354026853452461,0.723318758689266,""
"Ano, nevýznamná krize","`obor_dotovany^4`",0.0722342294526382,0.384486068839478,0.187872163146686,0.850976864742283,""
"Ano, nevýznamná krize","obor_konkuren.L",-0.116090403186859,0.644391010378569,-0.18015521836448,0.857030713711327,""
"Ano, nevýznamná krize","obor_konkuren.Q",-0.0313842525927937,0.69502499878949,-0.0451555737526779,0.963983305112873,""
"Ano, nevýznamná krize","obor_konkuren.C",-0.0125892136597559,0.339064432216817,-0.0371292664861575,0.970381936829976,""
"Ano, nevýznamná krize","`obor_konkuren^4`",0.178724162677933,0.673445095853941,0.265387874643748,0.79071067601342,""
"Ano, nevýznamná krize","obor_tlak.L",-0.252168874307428,0.321703793383471,-0.783854214634152,0.433125657931622,""
"Ano, nevýznamná krize","obor_tlak.Q",-0.0555398080436197,0.48343662137718,-0.114885396735981,0.908535960164314,""
"Ano, nevýznamná krize","obor_tlak.C",-0.214675418807031,0.613143803148115,-0.350122463449529,0.726246793164048,""
"Ano, nevýznamná krize","obor_rychly.L",0.44080326941271,0.369511559139817,1.19293499353269,0.232894833076948,""
"Ano, nevýznamná krize","obor_rychly.Q",0.0313756263252357,0.542074511352887,0.057880652323847,0.953843694490352,""
"Ano, nevýznamná krize","obor_rychly.C",0.164877087987774,0.226253695467737,0.728726607744114,0.466168913433502,""
"Ano, nevýznamná krize","`obor_rychly^4`",-0.176540440276242,0.631405534606406,-0.279599133362508,0.779785072069837,""
"Ano, nevýznamná krize","obor_priliv.L",-0.541316307855832,0.433687121484444,-1.24817242901516,0.211967918443697,""
"Ano, nevýznamná krize","obor_priliv.Q",-0.108957659385086,0.441814441210515,-0.246614074194941,0.805206911288419,""
"Ano, nevýznamná krize","obor_priliv.C",-0.0385483408971214,0.239183572723612,-0.161166339553201,0.87196239165006,""
"Ano, nevýznamná krize","`obor_priliv^4`",-0.265134365335955,0.410808454426058,-0.645396564942597,0.518670228891158,""
"Ano, nevýznamná krize","obor_publikac.L",-0.261163414817527,0.463601131211995,-0.563336448586236,0.573205803143271,""
"Ano, nevýznamná krize","obor_publikac.Q",0.351704377139223,0.534949079485642,0.657453934638771,0.510889081566271,""
"Ano, nevýznamná krize","obor_publikac.C",0.115927568091124,0.267335435844137,0.433640859189024,0.664549259119683,""
"Ano, nevýznamná krize","`obor_publikac^4`",-0.241186911143341,0.550013011022825,-0.438511283023689,0.661015692834489,""
"Ano, nevýznamná krize","obor_medializ.L",-0.0634691672668303,0.372550423428679,-0.170363964917036,0.86472390965927,""
"Ano, nevýznamná krize","obor_medializ.Q",-0.19954329046039,0.583306116579015,-0.342090173219295,0.732283032465897,""
"Ano, nevýznamná krize","obor_medializ.C",-0.0918754004243935,0.22174161969266,-0.414335389773625,0.678628499375027,""
"Ano, nevýznamná krize","`obor_medializ^4`",-0.288237286773151,0.671402359555374,-0.429306335718021,0.667700306678314,""
"Ano, nevýznamná krize","obor_verejnos.L",0.0309153759746698,0.393640436174355,0.0785370940930889,0.937400824514098,""
"Ano, nevýznamná krize","obor_verejnos.Q",-0.363654755743277,0.39795558827502,-0.9138073856924,0.36081806489927,""
"Ano, nevýznamná krize","obor_verejnos.C",-0.226303925074281,0.238134561073717,-0.950319533854755,0.341949916320847,""
"Ano, nevýznamná krize","`obor_verejnos^4`",-0.110936244928812,0.351236000937015,-0.315845313785775,0.752119921848547,""
"Ano, nevýznamná krize","obor_komplexn.L",-0.404933872460581,0.711073735578988,-0.569468189021024,0.569038452817078,""
"Ano, nevýznamná krize","obor_komplexn.Q",-0.419957410957418,0.746064243106166,-0.562897116217453,0.573504944018624,""
"Ano, nevýznamná krize","obor_komplexn.C",0.156312011181657,0.401199487340627,0.389611692222688,0.696823704934335,""
"Ano, nevýznamná krize","`obor_komplexn^4`",0.286843322519863,0.619199448690311,0.463248672340673,0.643186132140328,""
"Ano, nevýznamná krize","obor_mensi.L",-0.00782523364314903,0.280607982388731,-0.0278867107647302,0.97775250759613,""
"Ano, nevýznamná krize","obor_mensi.Q",0.122341860230605,0.377743059674381,0.323875865081584,0.746032016842346,""
"Ano, nevýznamná krize","obor_mensi.C",-0.386981528590111,0.218278315817205,-1.77288122799236,0.0762483898685802,"."
