"","poradi","ID","datum","cas_sec","misto_vyzkumu","obor","zakl_vyzkum","reproduk","rep_Ne","rep_Mainstream","rep_Casopisy","rep_Diskuse","rep_Vlastni","krize_rep","krize_fyz","krize_bio","krize_med","krize_soc","krize_nevim","rep_podil","nerep_problem","nerep_chyba","nerep_valid","nerep_neobj","nerep_veda","nerep_narust","reg_Evropa","reg_Sev.Amerika","reg_Asie","reg_vsude.stejne","reg_nevim","nerep_zeme","despekt","desp_zeme","desp_jazyk","desp_kvalita","desp_nevim","desp_vlastni","reakce_nectu","reakce_vyberu","reakce_obezret","reakce_nic","reakce_stejne","reakce_nevim","reakce_vlastni","fakt_podvod","fakt_karier","fakt_dohled","fakt_recenz","fakt_selekc","fakt_replik","fakt_statis","fakt_odborn","fakt_data","fakt_dokume","fakt_metody","fakt_variab","fakt_design","fakt_smula","fakt_dalsi","nerep_jaMuj","nerep_jaCizi","nerep_oniMuj","rep_komentar","objekt_vnejsi.pohled","objekt_presnost","objekt_matematicka.konzistence","objekt_testovatelnost","objekt_nestrannost","objekt_priblizeni.pravde","objekt_shoda.s.realitou","objekt_kvantifikace","objekt_intersubjektivita","objekt_kriticke.mysleni","objekt_reprodukovatelnost","objekt_diskut","frek_nerepre","frek_hacking","frek_positiv","frek_popular","frek_modmet","frek_oversell","frek_zbytecne","frek_salam","neobj_nerepre","neobj_hacking","neobj_positiv","neobj_popular","neobj_modmet","neobj_oversell","neobj_zbytecne","neobj_salam","financ_vliv","financ_zajisti.objektivitu","financ_neduvera","financ_zajisti.nezavislost","financ_casvliv","financ_casvlast","pomer_administr","diskrim_muzi","diskrim_starsi","diskrim_uspesni","diskrim_autority","diskrim_zavedene","objekt_komentar","dilema_predator","dilema_neinformoval","dilema_misogyn","dilema_kvoty","dilema_cinska.medicina","dilema_embryo","dilema_komentar","gender","vek","kar_praxe","kar_titul","kar_citace","kar_nejlepsi","kar_kategorie","kar_komentar","pomer_veda","pomer_zakladni","obor_dotovany","obor_konkuren","obor_tlak","obor_rychly","obor_priliv","obor_publikac","obor_medializ","obor_verejnos","obor_komplexn","obor_mensi","cinnost_matem","cinnost_model","cinnost_teori","cinnost_exper","cinnost_kateg","cinnost_vyvoj","obor_ekzaktnost","obor_komentar","spec_hlavni","spec_astr","spec_astrvl","spec_bio","spec_biovl","spec_chem","spec_chemvl","spec_ekol","spec_ekolvl","spec_inze","spec_inzevl","spec_matr","spec_matrvl","spec_medi","spec_medivl","spec_fyzi","spec_fyzivl","spec_matm","spec_metmvl","spec_vlastni","instituce"
"1",2,5791983,2019-04-11,774,"V Akademii věd ČR","Sekce chemických věd","Ano",NA,"Ne",NA,NA,NA,NA,"Ano, nevýznamná krize",NA,NA,NA,NA,"Nevím","50 %","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Spíše souhlasím","Ani souhlasím/ani nesouhlasím",NA,NA,"Asie",NA,NA,"Čínská lidová republika","Nikdy",NA,NA,NA,"Nedokážu posoudit",NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Vždy","Velmi často","Vždy","Velmi často","Velmi často","Velmi často","Někdy","Někdy","Velmi často","Někdy","Někdy","Někdy","Velmi často","Někdy","ne","Ano","Ano","Ano",NA,"Pohled z vnějšku",NA,NA,NA,"Nestrannost",NA,NA,NA,NA,"Kritické myšlení",NA,"Zřídka","40%","30%","30%","30%","Nevím","10%","20%","20%","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Velmi často","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Nevím","Nevím","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"40%",-1,-1,-1,-1,-1,NA,"ne","ne","ano","ano","ano","ano",NA,"Muž","25–34","5–9 let","CSc./Ph.D.","Do 100","Ano","Vědecký pracovník do třídy V5",NA,NA,"30%","Spíše ne","Spíše ano","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Rozhodně ne","Tuto činnost nedělám","Tuto činnost nedělám","3. místo","1. místo","2. místo","2. místo","„Měkčí“ (méně exaktní)",NA,"Chemistry",NA,NA,NA,NA,"Environmental Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"2",3,5791985,2019-04-11,1036,"V Akademii věd ČR","Sekce biologicko-ekologických věd","Ano","takto",NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Ano, nevýznamná krize","Fyzikálních/chemických","Biologických","Lékařských","Sociálních",NA,"90 %","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Rozhodně nesouhlasím","Ani souhlasím/ani nesouhlasím","Spíše souhlasím","Spíše souhlasím",NA,NA,"Asie",NA,NA,"Indie, Bangladéš, Čína","Zřídka","západní země, 90. léta","Byla to jazyková záležitost, protože nejsem rodilý mluvčí","Týkalo se to kvality vědecké práce",NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Zřídka","Velmi často","Zřídka","Zřídka","Velmi často","Někdy","Někdy","Někdy","Velmi často","Někdy","Zřídka","Někdy","Někdy","Zřídka",NA,"Ano","Ano","Ano","k 20) francouzské pracoviště nebylo schopné zopakovat náš experiment, podařilo se až ve chvíli, kdy vyslali k nám studenta a ten na našem pracovišti experiment zopakoval a došel ke stejným výsledkům",NA,NA,NA,NA,NA,NA,"Shoda s realitou",NA,NA,NA,"Reprodukovatelnost","Zřídka","80%","20%","30%","20%","50%","40%","60%","80%","Ano","Ano","Ano","Ne","Ne","Ano","Ne","Ne","Vždy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných ze soukromých zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"80%",0,0,-1,-1,0,NA,"ne","ne","ano","ne","ano","ano",NA,"Muž","55–64","20 a více let","CSc./Ph.D.","Do 5000","Ano","Vědecký pracovník do třídy V5",NA,NA,"80%","Spíše ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Spíše ne","Rozhodně ano","Spíše ano","Spíše ano","Rozhodně ano","Rozhodně ne",NA,NA,"2. místo","3. místo","1. místo",NA,"„Tvrdší“ (exaktnější)","48) Jde o 2.,3. a 4. místo - vítězí administrativa!","Biology",NA,NA,"Plant Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"3",4,5791991,2019-04-11,1053,"V Akademii věd ČR","Sekce chemických věd","Ano",NA,NA,"Ano, v mainstreamových médiích",NA,NA,NA,"Nevím",NA,NA,"Lékařských","Sociálních",NA,"80 %","Spíše souhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše souhlasím","Spíše souhlasím",NA,NA,"Asie",NA,NA,NA,"Zřídka",NA,NA,NA,"Nedokážu posoudit",NA,NA,NA,NA,"Nijak, protože i studie z tohoto regionu mohou obsahovat cenné výsledky",NA,NA,NA,"Někdy","Velmi často","Nevím","Někdy","Velmi často","Někdy","Někdy","Někdy","Velmi často","Někdy","Někdy","Někdy","Někdy","Zřídka",NA,"Ano","Ano","Ano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kritické myšlení",NA,"Zřídka","30%","20%","40%","50%","40%","50%","60%","20%","Ano","Ano","Ano","Ne","Ne","Ano","Ano","Ne","Vždy","Nehraje roli","Financovaných ze soukromých zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",0,0,-1,-1,-1,NA,"ano","ne","ano","ne","ano","ano",NA,"Žena","55–64","20 a více let","CSc./Ph.D.","Do 500","Ano","Vědecký pracovník do třídy V5",NA,NA,"80%","Spíše ne","Spíše ne","Spíše ano","Spíše ne","Rozhodně ne","Spíše ne","Rozhodně ne","Spíše ano","Spíše ne","Spíše ano","1. místo","3. místo","3. místo","1. místo","3. místo","3. místo","Nedokážu posoudit",NA,"Chemistry",NA,NA,NA,NA,"Catalysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"4",5,5791994,2019-04-11,2447,"V Akademii věd ČR","Sekce matematiky, fyziky a informatiky","Ne","Reprodukovatelnost je základem mého oboru - matematiky. U každého tvrzení musí být oveřitelné, zda platí nebo neplatí, a takové - více či méně - podrobné ověřování tvrzení, na kterých nový výzkum navazuje, je denní chleba matematika. Předpoklad reprodukovatelnost platil i pro experimentální přírodovědné obory, ale tlak poskytovatelů a honba za ""h"" vede k tomu, že se tento aspekt stále více pomíjí. Peníze a čas jsou věnovány na rychlé publikování výsledků a na jejich ověřování peníze ani čas nejsou.",NA,"Ano, v mainstreamových médiích","Ano, ve vědeckých časopisech","Ano, v diskuzích na konferencích",NA,"Ano, významná krize",NA,"Biologických","Lékařských","Sociálních",NA,"100 %","Rozhodně nesouhlasím","Nevím","Rozhodně nesouhlasím","Rozhodně souhlasím","Spíše souhlasím","Nevím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Nikdy",NA,NA,NA,NA,NA,NA,NA,NA,"Nijak, protože i studie z tohoto regionu mohou obsahovat cenné výsledky",NA,NA,NA,"Někdy","Velmi často","Nevím","Někdy","Nevím","Někdy","Nevím","Zřídka","Nevím","Nevím","Nevím","Nevím","Nevím","Nevím",NA,"Nedělám experimenty","Nedělám experimenty","Nedělám experimenty",NA,NA,NA,"Matematická konzistence","Testovatelnost",NA,NA,NA,NA,NA,"Kritické myšlení",NA,"Zřídka","Nikdy 0%","Nikdy 0%","Nevím","Nikdy 0%","10%","10%","10%","20%","Ano","Ano","Nevím","Nevím","Ano","Ano","Ne","Ne","Někdy","Nehraje roli","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"Nevím",0,-1,-1,-1,-1,NA,"ne","ano","ne","ano","ano","ne","U povinných otázek v této sekci jsem někdy postrádal možnost odpovědi ""nevím"".","Muž","65 a více","20 a více let","CSc./Ph.D.","Do 5000","Ne","Vědecký pracovník do třídy V5","K otázce č. 43: v matematice neexistuje něco jako ""nejlepší časopis"". Časopisy typu Nature a Science nejsou matematiky považovány za významné.",NA,"100%","Rozhodně ne","Rozhodně ano","Spíše ano","Rozhodně ne","Spíše ne","Rozhodně ano","Rozhodně ne","Spíše ne","Nevím","Spíše ne","1. místo","Tuto činnost nedělám","2. místo","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","„Tvrdší“ (exaktnější)",NA,"Mathematics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis",NA,NA,"AV"
"5",6,5791995,2019-04-11,1325,"V Akademii věd ČR","Sekce chemických věd","Ano",NA,"Ne",NA,NA,NA,NA,"Ne, žádná krize není",NA,NA,NA,NA,NA,"50 %","Spíše souhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše souhlasím",NA,NA,NA,"Ve všech regionech je podíl nereprodukovatelných studií stejný",NA,NA,"Zřídka",NA,NA,NA,NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Někdy","Velmi často","Někdy","Zřídka","Zřídka","Někdy","Někdy","Někdy","Nevím","Někdy","Někdy","Velmi často","Někdy","Někdy",NA,"Ano","Ano","Nepamatuji se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kritické myšlení","Reprodukovatelnost","Zřídka","Nevím","Nevím","20%","40%","30%","20%","30%","20%","Ano","Nevím","Ano","Ano","Ano","Ano","Ne","Ano","Velmi často","Nehraje roli","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",-1,1,-1,-1,-1,NA,"ne","ne","ne","ano","ano","ano",NA,"Žena","65 a více","20 a více let","CSc./Ph.D.","Do 5000","Ne","Vedoucí vědecký pracovník do třídy V6",NA,NA,"30%","Rozhodně ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ne","Spíše ano","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","1. místo","1. místo","2. místo","„Měkčí“ (méně exaktní)",NA,"Engineering",NA,NA,NA,NA,NA,NA,NA,NA,"Chemical Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"6",7,5792001,2019-04-11,1511,"V Akademii věd ČR","Sekce chemických věd","Ano","reprodukovatelnost = schopnost děj zopakovat
replikovatelnost = schopnost děj zkopírovat",NA,NA,NA,"Ano, v diskuzích na konferencích",NA,"Ano, významná krize","Fyzikálních/chemických","Biologických","Lékařských",NA,NA,"80 %","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím","Spíše souhlasím","Ani souhlasím/ani nesouhlasím",NA,NA,"Asie",NA,NA,"Čína a Indie","Nikdy",NA,NA,NA,NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Vždy","Velmi často","Vždy","Vždy","Někdy","Někdy","Někdy","Velmi často","Velmi často","Vždy","Velmi často","Velmi často","Velmi často","Zřídka",NA,"Ne","Ano","Ne",NA,NA,NA,NA,NA,"Nestrannost","Přiblížení k pravdě",NA,NA,NA,NA,NA,"Někdy","Nikdy 0%","Nikdy 0%","Vždy 100%","Nikdy 0%","Nikdy 0%","Nikdy 0%","Nikdy 0%","Nikdy 0%","Ano","Ano","Ne","Ne","Ano","Ano","Ano","Ano","Vždy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných ze soukromých zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"70%",0,-1,-1,1,-1,NA,"ano","ne","ne","ne","ano","ano",NA,"Muž","45–54","20 a více let","CSc./Ph.D.","Do 1000","Ne","Vědecký pracovník do třídy V5",NA,NA,"70%","Rozhodně ne","Rozhodně ano","Spíše ano","Spíše ne","Spíše ano","Rozhodně ano","Spíše ano","Rozhodně ne","Spíše ano","Rozhodně ne","Tuto činnost nedělám","1. místo","1. místo","1. místo","1. místo","1. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Organic Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"7",8,5792010,2019-04-11,945,"V zahraničí","Sekce biologických a lékařských věd","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Ano, významná krize",NA,NA,"Lékařských",NA,NA,"70 %","Rozhodně souhlasím","Spíše souhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím","Spíše nesouhlasím","Spíše souhlasím",NA,NA,"Asie",NA,NA,"Cina","Nikdy",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Někdy","Velmi často","Velmi často","Někdy","Velmi často","Někdy","Někdy","Velmi často","Velmi často","Velmi často","Někdy","Zřídka","Někdy","Někdy",NA,"Ano","Ano","Ne",NA,NA,NA,NA,"Testovatelnost",NA,NA,"Shoda s realitou",NA,NA,NA,"Reprodukovatelnost","Zřídka","40%","60%","80%","70%","80%","80%","30%","80%","Ano","Ano","Ano","Ne","Ne","Ano","Ne","Ne","Vždy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných ze soukromých zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"40%",-1,-1,-1,-1,-1,NA,"ne","ne","ano","ne","ano","ano",NA,"Žena","25–34","10–19 let","CSc./Ph.D.","Do 500","Ne","Vědecký asistent do třídy V4",NA,NA,"80%","Rozhodně ano","Spíše ano","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Tuto činnost nedělám",NA,"1. místo","3. místo","Tuto činnost nedělám","2. místo","„Měkčí“ (méně exaktní)",NA,"Biology",NA,NA,"Physiology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"8",9,5792021,2019-04-11,2235,"V Akademii věd ČR","Sekce chemických věd","Ano",NA,"Ne",NA,NA,NA,NA,"Nevím",NA,NA,NA,NA,NA,"50 %","Rozhodně souhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Nevím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Nikdy",NA,NA,NA,NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Někdy","Velmi často","Někdy","Někdy","Někdy","Nevím","Někdy","Někdy","Zřídka","Někdy","Zřídka","Zřídka","Zřídka","Někdy",NA,"Ano","Ano","Ne",NA,NA,"Přesnost",NA,NA,NA,NA,"Shoda s realitou",NA,NA,"Kritické myšlení",NA,"Někdy","20%","Nevím","50%","90%","30%","40%","60%","40%","Ano","Nevím","Ne","Ano","Nevím","Ano","Ano","Ano","Velmi často","Soukromé (korporátní)","Financovaných z veřejných zdrojů","Nehraje roli","Ne, nemá",NA,"20%",0,0,-1,-1,0,NA,"ne","ano","ne","ne","ano","ne",NA,"Žena","35–44","10–19 let","CSc./Ph.D.","Do 500","Ne","Vědecký pracovník do třídy V5",NA,NA,"90%","Spíše ne","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Nevím","Spíše ne",NA,"3. místo",NA,"2. místo",NA,"1. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Materials Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"9",10,5792028,2019-04-11,841,"V Akademii věd ČR","Sekce biologických a lékařských věd","Ano",NA,NA,NA,NA,"Ano, v diskuzích na konferencích",NA,"Ano, nevýznamná krize","Fyzikálních/chemických","Biologických","Lékařských","Sociálních",NA,"80 %","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Rozhodně souhlasím","Spíše souhlasím","Ani souhlasím/ani nesouhlasím",NA,NA,"Asie",NA,NA,"Čína","Nikdy",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Někdy","Velmi často","Velmi často","Někdy","Velmi často","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy",NA,"Ano","Ano","Ne",NA,NA,NA,NA,NA,"Nestrannost",NA,NA,"Kvantifikace",NA,NA,"Reprodukovatelnost","Někdy","70%","Nevím","70%","60%","70%","60%","60%","50%","Ano","Nevím","Nevím","Ano","Ano","Ano","Nevím","Ano","Vždy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných ze soukromých zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"50%",0,0,-1,-1,-1,NA,"ne","ne","ne","ne","ne","ano",NA,"Žena","55–64","20 a více let","DrSc./DSc.","Do 5000","Ne","Vedoucí vědecký pracovník do třídy V6",NA,NA,"90%","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ne","Rozhodně ne",NA,NA,"2. místo","1. místo","3. místo",NA,"„Tvrdší“ (exaktnější)",NA,"Biology",NA,NA,"Molecular Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"10",11,5792031,2019-04-11,1484,"V Akademii věd ČR","Sekce biologických a lékařských věd","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech","Ano, v diskuzích na konferencích",NA,"Ano, nevýznamná krize",NA,"Biologických","Lékařských",NA,NA,"70 %","Spíše souhlasím","Spíše nesouhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše souhlasím","Spíše nesouhlasím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Někdy",NA,"Byla to jazyková záležitost, protože nejsem rodilý mluvčí",NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu","Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Někdy","Velmi často","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy","Zřídka","Někdy","Zřídka",NA,"Nepamatuji se","Ano","Ano",NA,NA,NA,NA,NA,"Nestrannost",NA,NA,NA,NA,"Kritické myšlení","Reprodukovatelnost","Zřídka","50%","Nikdy 0%","80%","20%","30%","30%","30%","Nikdy 0%","Ano","Nevím","Ne","Ne","Ne","Ne","Ne","Ne","Někdy","Nevím","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"50%",0,1,-1,-1,0,NA,"ne","ne","ano","ne","ano","ne",NA,"Muž","45–54","10–19 let","CSc./Ph.D.","Do 5000","Ne","Vědecký pracovník do třídy V5",NA,NA,"100%","Spíše ne","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ano","Spíše ano","Tuto činnost nedělám","3. místo","2. místo","1. místo",NA,"3. místo","Nedokážu posoudit",NA,"Biology",NA,NA,"Chemical Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
