"","instituce","obor","spec_hlavni","zakl_vyzkum","obor_ekzaktnost","krize_rep","cinnost_matem","cinnost_model","cinnost_teori","cinnost_exper","cinnost_kateg","cinnost_vyvoj","kar_praxe","kar_titul","kar_citace","kar_nejlepsi","kar_kategorie","obor_dotovany","obor_konkuren","obor_tlak","obor_rychly","obor_priliv","obor_publikac","obor_medializ","obor_verejnos","obor_komplexn","obor_mensi","financ_vliv","financ_zajisti.objektivitu","financ_neduvera","financ_zajisti.nezavislost","dilema_predator","dilema_neinformoval","dilema_misogyn","dilema_kvoty","dilema_cinska.medicina","dilema_embryo","reg_Evropa","reg_Sev.Amerika","reg_Asie","reg_vsude.stejne","objekt_vnejsi.pohled","objekt_presnost","objekt_matematicka.konzistence","objekt_testovatelnost","objekt_nestrannost","objekt_priblizeni.pravde","objekt_shoda.s.realitou","objekt_kvantifikace","objekt_intersubjektivita","objekt_kriticke.mysleni","objekt_reprodukovatelnost","objekt_diskut","neobj_nerepre","neobj_hacking","neobj_positiv","neobj_popular","neobj_modmet","neobj_oversell","neobj_zbytecne","neobj_salam","frek_nerepre","frek_hacking","frek_positiv","frek_popular","frek_modmet","frek_oversell","frek_zbytecne","frek_salam"
"1","AV","Chemie","Chemistry","Ano","Menší","Nevýznamná","Ne","Ne","Ne","Ano","Ne","Ne","5–9 let","CSc./Ph.D.","Do 100","Ano","Vědecký pracovník do třídy V5","Spíše ne","Spíše ano","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Rozhodně ne","Velmi často","Veřejné",NA,NA,"ne","ne","ano","ano","ano","ano","Ne","Ne","Ano","Ne","Ano","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ne","Zřídka","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Ano",40,30,30,30,NA,10,20,20
"2","AV","Biol-Ekol","Biology","Ano","Větší","Nevýznamná","Ne","Ne","Ne","Ne","Ano","Ne","20 a více let","CSc./Ph.D.","Do 5000","Ano","Vědecký pracovník do třídy V5","Spíše ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Spíše ne","Rozhodně ano","Spíše ano","Spíše ano","Rozhodně ano","Rozhodně ne","Vždy","Veřejné","Soukromé","Dlouhodobé","ne","ne","ano","ne","ano","ano","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ano","Zřídka","Ano","Ano","Ano","Ne","Ne","Ano","Ne","Ne",80,20,30,20,50,40,60,80
"3","AV","Chemie","Chemistry","Ano",NA,NA,"Ano","Ne","Ne","Ano","Ne","Ne","20 a více let","CSc./Ph.D.","Do 500","Ano","Vědecký pracovník do třídy V5","Spíše ne","Spíše ne","Spíše ano","Spíše ne","Rozhodně ne","Spíše ne","Rozhodně ne","Spíše ano","Spíše ne","Spíše ano","Vždy","Nehraje roli","Soukromé","Dlouhodobé","ano","ne","ano","ne","ano","ano","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Zřídka","Ano","Ano","Ano","Ne","Ne","Ano","Ano","Ne",30,20,40,50,40,50,60,20
"4","AV","Mat-Fyz-Info","Math.","Ne","Větší","Významná","Ano","Ne","Ne","Ne","Ne","Ne","20 a více let","CSc./Ph.D.","Do 5000","Ne","Vědecký pracovník do třídy V5","Rozhodně ne","Rozhodně ano","Spíše ano","Rozhodně ne","Spíše ne","Rozhodně ano","Rozhodně ne","Spíše ne",NA,"Spíše ne","Někdy","Nehraje roli","Nehraje roli","Dlouhodobé","ne","ano","ne","ano","ano","ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ano","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Zřídka","Ano","Ano",NA,NA,"Ano","Ano","Ne","Ne",0,0,NA,0,10,10,10,20
"5","AV","Chemie","Other","Ano","Menší","Není","Ne","Ne","Ne","Ano","Ano","Ne","20 a více let","CSc./Ph.D.","Do 5000","Ne","Vedoucí vědecký pracovník do třídy V6","Rozhodně ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ne","Spíše ano","Velmi často","Nehraje roli","Nehraje roli","Dlouhodobé","ne","ne","ne","ano","ano","ano","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ano","Zřídka","Ano",NA,"Ano","Ano","Ano","Ano","Ne","Ano",NA,NA,20,40,30,20,30,20
"6","AV","Chemie","Chemistry","Ano","Větší","Významná","Ne","Ano","Ano","Ano","Ano","Ano","20 a více let","CSc./Ph.D.","Do 1000","Ne","Vědecký pracovník do třídy V5","Rozhodně ne","Rozhodně ano","Spíše ano","Spíše ne","Spíše ano","Rozhodně ano","Spíše ano","Rozhodně ne","Spíše ano","Rozhodně ne","Vždy","Veřejné","Soukromé","Dlouhodobé","ano","ne","ne","ne","ano","ano","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ano","Ano","Ne","Ne","Ne","Ne","Ne","Někdy","Ano","Ano","Ne","Ne","Ano","Ano","Ano","Ano",0,0,100,0,0,0,0,0
"7","AV","Biol-Medic","Biology","Ano","Menší","Významná","Ne","Ne","Ano","Ne","Ne","Ne","10–19 let","CSc./Ph.D.","Do 500","Ne","Vědecký asistent do třídy V4","Rozhodně ano","Spíše ano","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Vždy","Veřejné","Soukromé","Dlouhodobé","ne","ne","ano","ne","ano","ano","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ano","Ne","Ne","Ne","Ano","Zřídka","Ano","Ano","Ano","Ne","Ne","Ano","Ne","Ne",40,60,80,70,80,80,30,80
"8","AV","Chemie","Chemistry","Ano","Větší",NA,"Ne","Ne","Ne","Ne","Ne","Ano","10–19 let","CSc./Ph.D.","Do 500","Ne","Vědecký pracovník do třídy V5","Spíše ne","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano",NA,"Spíše ne","Velmi často","Soukromé","Veřejné","Nehraje roli","ne","ano","ne","ne","ano","ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ano","Ne","Někdy","Ano",NA,"Ne","Ano",NA,"Ano","Ano","Ano",20,NA,50,90,30,40,60,40
"9","AV","Biol-Medic","Biology","Ano","Větší","Nevýznamná","Ne","Ne","Ne","Ano","Ne","Ne","20 a více let","DrSc./DSc.","Do 5000","Ne","Vedoucí vědecký pracovník do třídy V6","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ne","Rozhodně ne","Vždy","Veřejné","Soukromé","Dlouhodobé","ne","ne","ne","ne","ne","ano","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ano","Ne","Ne","Ano","Někdy","Ano",NA,NA,"Ano","Ano","Ano",NA,"Ano",70,NA,70,60,70,60,60,50
"10","AV","Biol-Medic","Biology","Ano",NA,"Nevýznamná","Ne","Ne","Ne","Ano","Ne","Ne","10–19 let","CSc./Ph.D.","Do 5000","Ne","Vědecký pracovník do třídy V5","Spíše ne","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ano","Spíše ano","Někdy",NA,NA,"Dlouhodobé","ne","ne","ano","ne","ano","ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ano","Zřídka","Ano",NA,"Ne","Ne","Ne","Ne","Ne","Ne",50,0,80,20,30,30,30,0
